txt	split	style
here I was born, an what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth.	train	catcher
In the first place, that stuff bores me, and in the second place, my parents would have about two hemorrhages	train	catcher
apiece if I told anything pretty personal about them.	train	catcher
They're quite touchy about anything like that, especially my father.	train	catcher
They're nice and all	train	catcher
--I'm not saying that--but they're also touchy as hell.	train	catcher
Besides, I'm not going to tell you my whole goddam autobiography or anything.	train	catcher
I'll just tell you about this madman stuff that happened to me around last Christmas just before I got pretty run-down and had to come out here and take it easy.	train	catcher
I mean that's all I told D.B. about, and he's my brother and all.	train	catcher
He's in Hollywood.	train	catcher
That isn't too far from this crumby place, and he comes over and visits me practically every week end.	train	catcher
He's going to drive me home when I go home next month maybe.	train	catcher
He just got a Jaguar.	train	catcher
One of those little English jobs that can do around two hundred miles an hour.	train	catcher
It cost him damn near four thousand bucks.	train	catcher
He's got a lot of dough, now.	train	catcher
He didn't use to.	train	catcher
He used to be just a regular writer, when he was home.	train	catcher
He wrote this terrific book of short stories, The Secret Goldfish, in case you never heard of him.	train	catcher
The best one in it was The Secret Goldfish.	train	catcher
It was about this little kid that wouldn't let anybody look at his goldfish because he'd bought it with his own money.	train	catcher
It killed me.	train	catcher
Now he's out in Hollywood, D.B., being a prostitute.	train	catcher
If there's one thing I hate, it's the movies.	train	catcher
Don't even mention them to me.	train	catcher
school that's in Agerstown, Pennsylvania.	train	catcher
You probably heard of it.	train	catcher
You've probably seen the ads, anyway.	train	catcher
They advertise in about a thousand magazines, always showing some hotshot guy on a horse jumping over a fence.	train	catcher
Like as if all you ever did at Pencey was play polo all the time.	train	catcher
I never even once saw a horse anywhere near the place.	train	catcher
And underneath the guy on the horse's picture, it always says: Since 1888 we have been molding boys into splendid, clear-thinking young men.	train	catcher
Strictly for the birds.	train	catcher
They don't do any damn more molding at Pencey than they do at any other school.	train	catcher
And I didn't know anybody there that was splendid and clear-thinking and all.	train	catcher
Maybe two guys.	train	catcher
If that many.	train	catcher
And they probably came to Pencey that way.	train	catcher
with Saxon Hall was supposed to be a very big deal around Pencey.	train	catcher
It was the last game	train	catcher
Anyway, it was the Saturday of the football game with Saxon Hall.	train	catcher
The game Where I want to start telling is the day I left Pencey Prep.	train	catcher
Pencey Prep is this There were never many girls at all at the football games.	train	catcher
Only seniors were I forgot to tell you about that.	train	catcher
They kicked me out.	train	catcher
I wasn't supposed to come The reason I was standing way up on Thomsen Hill, instead of down at the game, of the year, and you were supposed to commit suicide or something if old Pencey didn't win.	train	catcher
I remember around three o'clock that afternoon I was standing way the hell up on top of Thomsen Hill, right next to this crazy cannon that was in the Revolutionary War and all.	train	catcher
You could see the whole field from there, and you could see the two teams bashing each other all over the place.	train	catcher
You couldn't see the grandstand too hot, but you could hear them all yelling, deep and terrific on the Pencey side, because practically the whole school except me was there, and scrawny and faggy on the Saxon Hall side, because the visiting team hardly ever brought many people with them.	train	catcher
allowed to bring girls with them.	train	catcher
It was a terrible school, no matter how you looked at it.	train	catcher
I like to be somewhere at least where you can see a few girls around once in a while, even if they're only scratching their arms or blowing their noses or even just giggling or something.	train	catcher
Old Selma Thurmer--she was the headmaster's daughter--showed up at the games quite often, but she wasn't exactly the type that drove you mad with desire.	train	catcher
She was a pretty nice girl, though.	train	catcher
I sat next to her once in the bus from Agerstown and we sort of struck up a conversation.	train	catcher
I liked her.	train	catcher
She had a big nose and her nails were all bitten down and bleedy-looking	train	catcher
and she had on those damn falsies that point all over the place, but	train	catcher
you felt sort of sorry for her.	train	catcher
What I liked about her, she didn't give you a lot of horse manure about what a great guy her father was.	train	catcher
She probably knew what a phony slob he was.	train	catcher
was because I'd just got back from New York with the fencing team.	train	catcher
I was the goddam manager of the fencing team.	train	catcher
Very big deal.	train	catcher
We'd gone in to New York that morning for this fencing meet with McBurney School.	train	catcher
Only, we didn't have the meet.	train	catcher
I left all the foils and equipment and stuff on the goddam subway.	train	catcher
It wasn't all my fault.	train	catcher
I had to keep getting up to look at this map, so we'd know where to get off.	train	catcher
So we got back to Pencey around two-thirty instead of around dinnertime.	train	catcher
The whole team ostracized me the whole way back on the train.	train	catcher
It was pretty funny, in a way.	train	catcher
The other reason I wasn't down at the game was because I was on my way to say good-by to old Spencer, my history teacher.	train	catcher
He had the grippe, and I figured I probably wouldn't see him again till Christmas vacation started.	train	catcher
He wrote me this note saying he wanted to see me before I went home.	train	catcher
He knew I wasn't coming back to Pencey.	train	catcher
back after Christmas vacation on account of I was flunking four subjects and not applying myself and all.	train	catcher
They gave me frequent warning to start applying myself--especially around midterms, when my parents came up for a conference with old Thurmer--but I didn't do it.	train	catcher
So I got the ax.	train	catcher
They give guys the ax quite frequently at Pencey.	train	catcher
It has a very good academic rating, Pencey.	train	catcher
It really does.	train	catcher
Anyway, it was December and all, and it was cold as a witch's teat, especially on top of that stupid hill.	train	catcher
I only had on my reversible and no gloves or anything.	train	catcher
The week before that, somebody'd stolen my camel's-hair coat right out of my room, with my fur- lined gloves right in the pocket and all.	train	catcher
Pencey was full of crooks.	train	catcher
Quite a few guys came from these very wealthy families, but it was full of crooks anyway.	train	catcher
The more expensive a school is, the more crooks it has--I'm not kidding.	train	catcher
Anyway, I kept standing next to that crazy cannon, looking down at the game and freezing my ass off.	train	catcher
Only, I wasn't watching the game too much.	train	catcher
What I was really hanging around for, I was trying to feel some kind	train	catcher
Anyway, as soon as I got my breath back I ran across Route 204.	train	catcher
It was icy as hell of a good-by.	train	catcher
I mean I've left schools and places	train	catcher
I didn't even know I was leaving them.	train	catcher
I hate that.	train	catcher
I don't care if it's a sad good-by or a bad goodby, but when I leave a place I like to know I'm leaving it.	train	catcher
If you don't, you feel even worse.	train	catcher
I was lucky.	train	catcher
All of a sudden I thought of something that helped make me know I was getting the hell out.	train	catcher
I suddenly remembered this time, in around October, that I and Robert Tichener and Paul Campbell were chucking a football around, in front of the academic building.	train	catcher
They were nice guys, especially Tichener.	train	catcher
It was just before dinner and it was getting pretty dark out, but we kept chucking the ball around anyway.	train	catcher
It kept getting darker and darker, and we could hardly see the ball any more, but we didn't want to stop doing what we were doing.	train	catcher
Finally we had to.	train	catcher
This teacher that taught biology, Mr. Zambesi, stuck his head out of this window in the academic building and told us to go back to the dorm and get ready for dinner.	train	catcher
If I get a chance to remember that kind of stuff, I can get a good-by when I need one--	train	catcher
at least, most of the time I can.	train	catcher
As soon as I got it, I turned around and started running down the other side of the hill, toward old Spencer's house.	train	catcher
He didn't live on the campus.	train	catcher
He lived on Anthony Wayne Avenue.	train	catcher
I ran all the way to the main gate, and then I waited a second till I got my breath.	train	catcher
I have no wind, if you want to know the truth.	train	catcher
I'm quite a heavy smoker, for one thing--that is, I used to be.	train	catcher
They made me cut it out.	train	catcher
Another thing, I grew six and a half inches last year.	train	catcher
That's also how I practically got t.b. and came out here for all these goddam checkups and stuff.	train	catcher
I'm pretty healthy, though.	train	catcher
and I damn near fell down.	train	catcher
I don't even know what I was running for--I guess I just felt like it.	train	catcher
After I got across the road, I felt like I was sort of disappearing.	train	catcher
It was that kind of a crazy afternoon, terrifically cold, and no sun out or anything, and you felt like you were disappearing every time you crossed a road.	train	catcher
frozen.	train	catcher
My ears were hurting and I could hardly move my fingers at all.	train	catcher
C'mon, c'mon	train	catcher
, I said right out loud, almost, somebody open the door.	train	catcher
Finally old Mrs. Spencer opened.	train	catcher
it.	train	catcher
They didn't have a maid or anything, and they always opened the door themselves.	train	catcher
They didn't have too much dough.	train	catcher
Holden!	train	catcher
Mrs. Spencer said.	train	catcher
How lovely to see you!	train	catcher
Come in, dear!	train	catcher
Are you frozen to death?	train	catcher
I think she was glad to see me.	train	catcher
She liked me.	train	catcher
At least, I think she did.	train	catcher
Spencer?	train	catcher
Spencer was.	train	catcher
She was sort of deaf.	train	catcher
She hung up my coat in the hall closet, and I sort of brushed my hair back with my hand.	train	catcher
I wear a crew cut quite frequently	train	catcher
and I never have to comb it much.	train	catcher
How've you been, Mrs. Spencer?	train	catcher
I said again, only louder, so she'd hear me.	train	catcher
The way she asked me, I knew right away old Spencer'd told her I'd been kicked out.	train	catcher
room, dear.	train	catcher
Go right in.	train	catcher
Fine, I said.	train	catcher
How's Mr. Spencer?	train	catcher
He over his grippe yet?	train	catcher
Over it!	train	catcher
Holden, he's behaving like a perfect--I don't know what. . .	train	catcher
He's in his Boy	train	catcher
, I rang that doorbell fast when I got to old Spencer's house.	train	catcher
I was really Boy, did I get in that house fast.	train	catcher
How are you, Mrs. Spencer?	train	catcher
I said.	train	catcher
How's	train	catcher
Mr. Let me take your coat, dear, she said.	train	catcher
She didn't hear me ask her how Mr. I've been just fine, Holden.	train	catcher
She closed the closet door.	train	catcher
How have you been?	train	catcher
They each had their own room and all.	train	catcher
They were both around seventy years old, 2 or even more than that.	train	catcher
They got a bang out of things, though--in a haif-assed way, of course.	train	catcher
